year,period,pdsi,tmeanmax,tmeanmean,tmeanmin,ppt,rad
2016,DJF,-3.473333333333333,5.4,0.4999999999999999,-4.4,269.90000000000003,79.96666666666667
2016,JJA,-4.04,29.133333333333333,22.933333333333334,16.733333333333334,151.2,240.33333333333334
2016,MAM,-3.3033333333333332,15.266666666666666,9.633333333333333,4,223.49999999999997,185.53333333333333
2016,SON,-4.243333333333333,18.866666666666667,13.166666666666666,7.466666666666667,247.5,112.8
2017,DJF,-1.8933333333333335,5.133333333333334,0.5333333333333334,-4.066666666666666,264.5,77.56666666666666
2017,JJA,1.5866666666666667,27.366666666666667,21.533333333333335,15.700000000000001,316.8,224.16666666666666
2017,MAM,-2.4233333333333333,14.166666666666666,8.783333333333333,3.4,367.6,161.56666666666666
2017,SON,2.4966666666666666,19.46666666666667,13.75,8.033333333333333,293.4,115.53333333333333
2018,DJF,2.4766666666666666,5.766666666666667,0.7333333333333334,-4.3,301.4,75.33333333333333
2018,JJA,1.9233333333333333,28.4,22.85,17.3,308.20000000000005,227.53333333333333
2018,MAM,2.4433333333333334,14.333333333333334,8.9,3.466666666666667,362.6,175.86666666666667
2018,SON,3.3066666666666666,17.166666666666664,12.133333333333333,7.1,482.7,96.63333333333333
2019,DJF,3.7866666666666666,4.666666666666666,-0.1166666666666667,-4.9,412.2,78.06666666666666
2019,JJA,4.0200000000000005,28.133333333333333,22.383333333333333,16.633333333333333,346,235.76666666666668
2019,MAM,2.743333333333333,14.033333333333333,8.716666666666667,3.4,328.4,174.43333333333334
2019,SON,3.4466666666666663,17.766666666666666,12.066666666666665,6.366666666666666,315.79999999999995,115.4
2020,DJF,1.29,6.366666666666666,1.7833333333333332,-2.8,304.1,75.03333333333333
2020,JJA,-2.35,28.9,23.066666666666666,17.233333333333334,199.1,234.1
2020,MAM,1.3166666666666667,14.566666666666666,9.05,3.533333333333333,275.29999999999995,187.86666666666665
2020,SON,-2.8666666666666667,19.233333333333334,13.299999999999999,7.366666666666666,277.7,117.46666666666667
2021,DJF,0.006666666666666672,4.933333333333334,0.5999999999999998,-3.7333333333333334,222.3,70.9
2021,JJA,0.9733333333333334,28.2,22.650000000000002,17.1,358.5,211.2
2021,MAM,-1.8366666666666667,16,9.9,3.8,283.1,195.06666666666666
2021,SON,4.096666666666667,19.1,13.666666666666668,8.233333333333334,396.5,117.3
2022,DJF,1.0099999999999998,5.533333333333333,0.08333333333333318,-5.366666666666666,338.7,77.5
2022,JJA,-2.6666666666666665,29.1,23,16.9,191.7,234.76666666666668
2022,MAM,0.3633333333333333,15.933333333333334,10.25,4.566666666666666,202.1,197.56666666666666
2022,SON,-2.2733333333333334,19.1,13.316666666666666,7.533333333333333,299.1,117.10000000000001
2023,DJF,-0.27,7.2,2.7,-1.7999999999999998,369.90000000000003,68.03333333333333
2023,JJA,-0.30000000000000016,26.96666666666667,21.6,16.233333333333334,421.6,207.13333333333333
2023,MAM,-2.2600000000000002,15.9,10.083333333333332,4.266666666666667,256.5,203.3
2023,SON,2.6333333333333333,18.6,13.066666666666666,7.533333333333333,254.4,117.93333333333334
2024,DJF,1.1800000000000002,5.166666666666667,0.6666666666666666,-3.8333333333333335,369.6,79.43333333333334
2024,JJA,2.263333333333333,28.4,22.566666666666666,16.733333333333334,242.2,230
2024,MAM,2.88,15.266666666666667,9.966666666666667,4.666666666666667,408.5,173.06666666666666
2024,SON,-0.5866666666666667,19.233333333333334,13.133333333333333,7.033333333333333,175.6,128.3
