"spp","mean","p5","p25","p75","p95","spp_name"
"1",-1.102,-6.349,-3.306,1.092,4.289,"A. incana"
"2",12.333,5.248,9.321,15.183,19.664,"B. alleghaniensis"
"3",23.403,9.029,17.346,29.098,38.977,"B. papyrifera"
"4",10.073,2.284,6.776,13.239,18.144,"B. populifolia"
