"spp","mean","p5","p25","p75","p95"
"1",0.028,-0.046,-0.002,0.059,0.105
"2",0.169,0.08,0.132,0.205,0.259
"3",0.312,0.138,0.242,0.384,0.482
"4",0.173,0.074,0.135,0.214,0.271
