"sigma","mean","p5","p25","p75","p95"
"sigma_atreeid",0.559,0.45,0.51,0.604,0.676
"sigma_asite",0.289,0.038,0.136,0.371,0.732
"sigma_y",0.622,0.564,0.596,0.645,0.687
