"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",3.228,-2.249,0.98,5.483,8.554,1119.32063370829,1.00113117122365
"2",2.091,-3.403,-0.158,4.338,7.539,1113.72203069241,1.00115621655315
"3",-7.59,-14.837,-10.567,-4.734,-0.286,1296.86420280552,1.00062049941006
"4",-0.069,-5.979,-2.406,2.287,5.57,1220.21560119581,1.00096270581851
