"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",2.792,-0.937,1.316,4.327,6.415,1305.23135192441,1.00108902419387
"2",-1.199,-5.211,-2.799,0.382,2.876,1393.34373183197,1.00067729418935
"3",-0.715,-5.358,-2.562,1.202,3.897,1547.00485547933,1.00158629117886
"4",0.79,-3.267,-0.92,2.465,4.863,1357.27953054736,1.00157186791097
