"spp","mean","p5","p25","p75","p95","spp_name"
"1",5.252,0.325,3.177,7.257,10.519,"A. incana"
"2",3.41,-2.561,0.889,5.871,9.53,"B. alleghaniensis"
"3",20.694,5.382,14.114,26.999,36.735,"B. papyrifera"
"4",5.697,-2.062,2.445,8.798,13.763,"B. populifolia"
