"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.946,-3.109,-0.788,2.658,5.069,2369.69407314826,1.00070678000529
"2",0.13,-3.97,-1.608,1.861,4.323,2446.51030595919,1.00065338955048
"3",-4.044,-8.978,-6.047,-2.06,0.797,2984.14131606293,1.00025801327578
"4",-0.758,-4.973,-2.521,0.979,3.498,2621.07821739461,1.00044760995051
