"sigma","mean","p5","p25","p75","p95"
"sigma_atreeid",0.176,0.052,0.137,0.223,0.276
"sigma_asite",0.172,0.018,0.071,0.217,0.479
"sigma_y",0.484,0.437,0.464,0.503,0.532
