"year","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.273,-1.213,-0.678,0.114,0.713,1526.98957916441,1.00054463660018
"2",0.22,-0.704,-0.178,0.612,1.214,1600.83983369039,1.00066424161917
"3",0.125,-0.811,-0.274,0.521,1.123,1558.59488961308,1.00053466969667
