"sigma","mean","p5","p25","p75","p95","n_eff","Rhat"
"sigma_asite",0.33,0.048,0.161,0.427,0.819,812.685217296412,1.00485351420834
"sigma_atreeid",0.613,0.499,0.564,0.66,0.735,1246.74421698423,1.00232362846562
"sigma_y",0.63,0.571,0.603,0.655,0.699,2234.36954293142,1.00066287397839
