treeid,year,latbi,site,plot,replicate,provenance.lat,provenance.long,sampleType,lengthCM,BAI,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,pgsGDD5,pgsGSL
ALNINC_SH5_P2,2018,Alnus incana,SH,5,P2,45.932675,-74.02507,cookie,0.36406666666666665,82.35955804253514,114,NA,124,116,NA,NA,NA,253,NA,2069.791666666666,129
ALNINC_SH5_P2,2019,Alnus incana,SH,5,P2,45.932675,-74.02507,cookie,0.24214666666666668,101.5293153917517,97,123.5,129,NA,NA,147,218,260,245,1999.2111111111117,131
ALNINC_SH5_P2,2020,Alnus incana,SH,5,P2,45.932675,-74.02507,cookie,0.09567333333333333,49.55126218593034,91,NA,NA,NA,NA,NA,NA,282,293,NA,NA
ALNINC_SH5_P3,2018,Alnus incana,SH,5,P3,45.932675,-74.02507,cookie,0.7272866666666667,201.6148522730616,114,89,124,NA,NA,151,180,274,288,2338.9111111111106,150
ALNINC_SH5_P3,2019,Alnus incana,SH,5,P3,45.932675,-74.02507,cookie,0.5046133333333334,340.8965772974654,103,122,123,NA,NA,147,225,274,240,2218.9194444444447,151
ALNINC_SH5_P3,2020,Alnus incana,SH,5,P3,45.932675,-74.02507,cookie,0.13038666666666665,116.77918368266998,98,NA,139,NA,NA,NA,275,282,293,2284.972222222221,143
ALNINC_SH6_P5,2018,Alnus incana,SH,6,P5,45.932675,-74.02507,core,0.64008,539.8988458083003,107,82,124,NA,58,NA,166,288,NA,2475.563888888888,164
ALNINC_SH6_P5,2019,Alnus incana,SH,6,P5,45.932675,-74.02507,core,0.50292,607.7794065381174,97,121,112,74,NA,142,193,274,240,2267.730555555556,162
ALNINC_SH6_P5,2020,Alnus incana,SH,6,P5,45.932675,-74.02507,core,0.1651,238.8923080953063,85,NA,148,NA,NA,NA,NA,282,293,2195.472222222221,134
ALNINC_WM1_P1,2018,Alnus incana,WM,1,P1,44.112337,-71.230138,cookie,0.5757333333333333,197.36729237828027,114,NA,124,NA,NA,NA,NA,274,297,2338.9111111111106,150
ALNINC_WM1_P1,2019,Alnus incana,WM,1,P1,44.112337,-71.230138,cookie,0.4656666666666667,315.4477008672726,100,147,123,NA,NA,147,NA,249,245,1902.0638888888889,126
ALNINC_WM1_P1,2020,Alnus incana,WM,1,P1,44.112337,-71.230138,cookie,0.13970000000000002,123.76161274463352,108,NA,143,NA,NA,NA,NA,282,293,2249.36111111111,139
ALNINC_WM2A_P1,2018,Alnus incana,WM,2A,P1,44.112337,-71.230138,cookie,0.63246,216.57555949590824,107,NA,124,NA,NA,NA,NA,270,297,2300.7416666666663,146
ALNINC_WM2A_P1,2019,Alnus incana,WM,2A,P1,44.112337,-71.230138,cookie,0.5113866666666667,365.90900968566206,NA,100,112,74,NA,221,NA,253,245,2001.5055555555557,141
ALNINC_WM2A_P1,2020,Alnus incana,WM,2A,P1,44.112337,-71.230138,cookie,0.17187333333333332,163.49964008537563,98,NA,154,NA,NA,NA,291.5,NA,241,NA,NA
ALNINC_WM5_P1,2018,Alnus incana,WM,5,P1,44.112337,-71.230138,cookie,0.7298266666666666,253.2321297537655,114,NA,124,NA,NA,NA,NA,281,NA,2408.016666666666,157
ALNINC_WM5_P1,2019,Alnus incana,WM,5,P1,44.112337,-71.230138,cookie,0.5469466666666667,414.5664398784645,97,100,112,NA,86,155,NA,274,245,2267.730555555556,162
