"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",1.826,-2.464,0.045,3.558,6.13,1261.95625978477,1.0020582785198
"2",2.248,-2.045,0.506,3.995,6.474,1235.35395201635,1.00261975678032
"3",-3.997,-9.475,-6.22,-1.807,1.308,1327.33963238555,1.00231773155498
"4",1.206,-3.245,-0.642,3.029,5.701,1365.14048282713,1.00238466828882
