"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.058,-0.143,-0.093,-0.022,0.027,2898.58209770274,0.999673542807045
"2",0.146,0.015,0.091,0.199,0.274,2525.69038894104,1.00033343207005
"3",0.105,-0.102,0.015,0.193,0.312,2120.56922377803,1.00147006244821
"4",0.08,-0.079,0.016,0.145,0.236,2118.01508325294,1.00068635507186
