"sigma","mean","p5","p25","p75","p95","n_eff","Rhat"
"sigma_asite",0.272,0.028,0.118,0.353,0.727,670.790856727759,1.0066928923119
"sigma_atreeid",0.519,0.41,0.474,0.565,0.636,1192.93403554149,1.0025598177539
"sigma_y",0.633,0.574,0.607,0.658,0.696,2041.91804609641,0.999578880738475
