"year","mean","p5","p25","p75","p95","n_eff.x","Rhat.x","n_eff.y","Rhat.y"
"1",-0.279,-1.24,-0.652,0.094,0.67,1543.81939200852,1.00111629700983,1543.81939200852,1.00111629700983
"2",0.304,-0.669,-0.079,0.684,1.246,1556.64046804144,1.00099727755623,1556.64046804144,1.00099727755623
"3",0.069,-0.907,-0.312,0.451,1.04,1554.82921347129,1.00115111149812,1554.82921347129,1.00115111149812
