"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.073,-0.135,-0.099,-0.047,-0.011,7017.4515125068,0.999959192261964
"2",0.099,0.003,0.061,0.139,0.194,7461.41191633143,0.999858009350471
"3",0.049,-0.11,-0.016,0.113,0.207,8001.10776534569,0.9999895858749
"4",0.048,-0.068,0,0.095,0.163,6773.90777790718,0.99973184844227
