"year","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.212,-0.735,-0.173,0.595,1.147,5096.63536286121,1.00040420510621
"2",0.08,-0.877,-0.302,0.462,1.024,5159.90033064519,1.00040173344891
"3",-0.366,-1.315,-0.749,0.021,0.575,5159.74644102139,1.00039769609527
