"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",3.07,-1.297,1.283,4.895,7.458,4649.95928113036,0.999849644757262
"2",-1.843,-6.361,-3.736,0.055,2.639,4908.07948554708,0.999890927903635
"3",-5.476,-11.125,-7.775,-3.159,0.195,5187.21246795277,0.999976204547487
"4",-0.841,-5.399,-2.784,1.029,3.849,5029.60957934425,0.999978150907154
