"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.012,-0.066,-0.034,0.011,0.042,13359.3651723942,0.999666840415819
"2",0.116,0.051,0.089,0.141,0.18,12017.29613443,0.999716875968637
"3",0.208,0.086,0.16,0.255,0.329,8313.10976264089,0.999909875312285
"4",0.095,0.023,0.066,0.124,0.167,12600.2210882629,0.999759093944657
