"site","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.029,-0.216,-0.082,0.025,0.145,5913.77843667501,1.00096233233756
"2",-0.094,-0.328,-0.155,-0.013,0.066,5005.62733019119,1.00114763917474
"3",0.039,-0.143,-0.018,0.095,0.246,6084.75197644469,1.00014762437077
"4",0.076,-0.09,0.005,0.136,0.288,5428.91461651645,1.00056541613864
