treeid,year,spp,site,plot,replicate,lengthCM,sampleType,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,provenance.lat,provenance.long,BAI,pgsGDD5,pgsGDD10,fgsGDD10,fullGDD,pgsGSL,pgsGDDAVG,idyear,latbi
ALNINC_GR8A_P5,2019,ALNINC,GR,8A,P5,0.50038,cookies,107,103,129,NA,86,211,NA,274,240,44.794942,-71.146683,322.53417386494414,2180.638888888889,1483.7555555555555,1194.952777777778,2826.3750000000005,145,2207.8916666666673,ALNINC_GR8A_P5_2019,Alnus incana
ALNINC_GR8A_P5,2020,ALNINC,GR,8A,P5,0.17610666666666666,cookies,108,NA,154,NA,NA,NA,297,282,229,44.794942,-71.146683,150.3205163590358,2120.61111111111,1503.0555555555552,1020.0000000000002,3024.833333333331,128,2397.6388888888873,ALNINC_GR8A_P5_2020,Alnus incana
ALNINC_GR8B_P5,2018,ALNINC,GR,8B,P5,0.21420666666666668,cookiesUnconfident,107,NA,124,NA,NA,NA,NA,268,297,44.794942,-71.146683,14.510075371435946,2269.494444444444,1564.927777777778,1701.5083333333332,2950.9972222222204,144,2467.5999999999995,ALNINC_GR8B_P5_2018,Alnus incana
ALNINC_GR8B_P5,2019,ALNINC,GR,8B,P5,0.4690533333333333,cookiesUnconfident,97,119.5,119,NA,NA,142,228,263,240,44.794942,-71.146683,132.30064718238452,2077.855555555556,1404.7222222222222,1216.8472222222226,2826.3750000000005,144,2229.7861111111115,ALNINC_GR8B_P5_2019,Alnus incana
ALNINC_GR8B_P5,2020,ALNINC,GR,8B,P5,0.6731,cookiesUnconfident,98,NA,154,NA,NA,NA,NA,282,293,44.794942,-71.146683,436.220415095203,2120.61111111111,1503.0555555555552,1548.6666666666663,3024.833333333331,128,2397.6388888888873,ALNINC_GR8B_P5_2020,Alnus incana
ALNINC_HF1_P1,2018,ALNINC,HF,1,P1,0.33274000000000004,cookies,114,128,128,89,NA,151,187,297,NA,42.531705,-72.18992,68.58995120055368,2472.5361111111097,1678.4749999999997,NA,2950.9972222222204,169,2444.566666666666,ALNINC_HF1_P1_2018,Alnus incana
ALNINC_HF1_P1,2019,ALNINC,HF,1,P1,0.25146,cookies,107,122.5,119,NA,86,147,NA,249,249,42.531705,-72.18992,98.88159991097423,1916.7555555555557,1304.9083333333333,1304.9083333333333,2826.3750000000005,130,2229.7861111111115,ALNINC_HF1_P1_2019,Alnus incana
ALNINC_HF1_P1,2020,ALNINC,HF,1,P1,0.10498666666666667,cookies,108,NA,133,NA,NA,NA,NA,282,293,42.531705,-72.18992,51.946299537131225,2337.86111111111,1639.444444444444,1685.0555555555552,3024.833333333331,149,2534.0277777777765,ALNINC_HF1_P1_2020,Alnus incana
ALNINC_HF1_P16,2018,ALNINC,HF,1,P16,0.31834666666666667,cookies,NA,NA,142,NA,NA,NA,NA,263,NA,42.531705,-72.18992,48.515552098655085,2042.4361111111107,1439.3333333333335,NA,2950.9972222222204,121,2367.930555555555,ALNINC_HF1_P16_2018,Alnus incana
ALNINC_HF1_P16,2019,ALNINC,HF,1,P16,0.34374666666666664,cookies,107,100,119,86,NA,168,228,249,232,42.531705,-72.18992,123.61500538068128,1916.7555555555557,1304.9083333333333,1136.0833333333335,2826.3750000000005,130,2229.7861111111115,ALNINC_HF1_P16_2019,Alnus incana
ALNINC_HF1_P16,2020,ALNINC,HF,1,P16,0.21505333333333335,cookies,NA,NA,135,NA,NA,NA,268,282,275,42.531705,-72.18992,115.03070507479755,2324.3055555555543,1630.8888888888885,1597.4999999999993,3024.833333333331,147,2525.472222222221,ALNINC_HF1_P16_2020,Alnus incana
ALNINC_HF2_P1,2018,ALNINC,HF,2,P1,0.41148,cookies,114,NA,124,NA,NA,NA,187,297,NA,42.531705,-72.18992,112.23367979017938,2513.5611111111098,1701.5083333333332,NA,2950.9972222222204,173,2467.5999999999995,ALNINC_HF2_P1_2018,Alnus incana
ALNINC_HF2_P1,2019,ALNINC,HF,2,P1,0.29125333333333336,cookies,107,125.33333333333333,135.5,NA,NA,147,NA,249,263,42.531705,-72.18992,144.18057293231846,1821.2777777777778,1262.488888888889,1362.302777777778,2826.3750000000005,113,2187.3666666666672,ALNINC_HF2_P1_2019,Alnus incana
ALNINC_HF2_P1,2020,ALNINC,HF,2,P1,0.11853333333333334,cookies,108,NA,143,NA,NA,NA,275,282,275,42.531705,-72.18992,74.1549505409885,2249.36111111111,1586.7499999999995,1553.3611111111104,3024.833333333331,139,2481.333333333332,ALNINC_HF2_P1_2020,Alnus incana
