"year","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.235,-0.732,-0.156,0.62,1.179,4932.1266457244,1.00122040642654
"2",0.119,-0.849,-0.269,0.504,1.06,4916.79330477817,1.00125852874458
"3",-0.474,-1.455,-0.863,-0.091,0.465,5007.60481628843,1.00114225761
