"sigma","mean","p5","p25","p75","p95","n_eff","Rhat"
"sigma_asite",0.173,0.019,0.073,0.218,0.474,2690.93561715707,1.00032163919192
"sigma_atreeid",0.168,0.041,0.127,0.215,0.268,1256.30959373526,1.00146914306915
"sigma_y",0.478,0.434,0.458,0.497,0.528,2662.26839752248,1.00038431889529
