"spp","mean","p5","p25","p75","p95"
"1",4.72,-0.153,2.803,6.643,9.643
"2",-0.63,-5.594,-2.72,1.443,4.407
"3",-6.766,-13.539,-9.566,-4.052,-0.084
"4",-0.344,-5.439,-2.434,1.739,4.773
