"spp","mean","p5","p25","p75","p95","spp_name"
"1",-7.067,-12.726,-9.539,-4.726,-1.135,"A. incana"
"2",10.654,0.48,6.267,14.779,21.596,"B. alleghaniensis"
"3",5.272,-10.789,-1.739,11.798,22.903,"B. papyrifera"
"4",5.046,-6.933,-0.2,10.039,17.842,"B. populifolia"
