"site","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.039,-0.235,-0.094,0.016,0.131,8299.07760952765,1.00012882919088
"2",-0.087,-0.318,-0.151,-0.008,0.077,5844.00372787945,1.00019380362422
"3",0.037,-0.132,-0.023,0.092,0.239,7718.98228793528,1.00007545560492
"4",0.083,-0.076,0.009,0.144,0.29,7224.66399567674,1.00057790578413
