"site","mean","p5","p25","p75","p95"
"1",-0.138,-0.491,-0.246,-0.014,0.123
"2",-0.072,-0.415,-0.181,0.031,0.226
"3",0.068,-0.232,-0.04,0.163,0.434
"4",0.155,-0.13,0.016,0.264,0.519
