"site","mean","p5","p25","p75","p95"
"1",-0.027,-0.226,-0.083,0.028,0.15
"2",-0.1,-0.337,-0.163,-0.016,0.065
"3",0.044,-0.134,-0.019,0.103,0.257
"4",0.082,-0.085,0.007,0.142,0.297
