"year","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.181,-0.8,-0.213,0.575,1.15,3524.01626937998,1.00070282525044
"2",0.165,-0.806,-0.228,0.56,1.126,3524.94512141488,1.0006289208505
"3",-0.444,-1.422,-0.836,-0.056,0.531,3630.14020566794,1.00064105105449
