"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.116,-3.902,-1.594,1.811,4.219,3276.22548828946,1.00064169501875
"2",0.346,-3.754,-1.383,2.034,4.552,3234.99947711723,1.00057185150323
"3",-2.684,-7.234,-4.585,-0.834,1.962,3624.40275331112,0.99993843366422
"4",0.22,-3.952,-1.516,1.928,4.529,3437.46015133356,1.00051068178008
