"year","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.365,-1.317,-0.769,0.031,0.61,1819.5971247362,0.99964714752423
"2",0.332,-0.648,-0.066,0.726,1.318,1835.88632419642,0.999867401614273
"3",-0.042,-1.012,-0.442,0.354,0.944,1819.51966403317,0.999585590703249
