"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.109,-0.034,0.051,0.167,0.252,3392.26091447329,0.999987557141514
"2",0.196,0.023,0.131,0.264,0.363,3857.62302103622,0.999717218240033
"3",0.921,0.491,0.743,1.101,1.344,1904.89533440488,1.00192467056318
"4",0.406,0.201,0.323,0.489,0.61,3599.40230399767,1.00013499692026
