"site","mean","p5","p25","p75","p95"
"1",-0.037,-0.232,-0.093,0.018,0.142
"2",-0.087,-0.313,-0.15,-0.007,0.079
"3",0.038,-0.154,-0.024,0.098,0.259
"4",0.086,-0.076,0.011,0.15,0.298
