"site","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.036,-0.23,-0.089,0.018,0.134,7789.82596975278,1.00011506906167
"2",-0.089,-0.317,-0.15,-0.007,0.069,6706.79275380916,1.00019726393061
"3",0.04,-0.137,-0.016,0.098,0.246,7984.67987705218,0.999908892606068
"4",0.073,-0.089,0.004,0.134,0.282,7423.14404880461,0.99990559930997
