"spp","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",0.074,0.008,0.047,0.102,0.14,4731.22594695854,0.999733526791547
"2",0.047,-0.038,0.012,0.083,0.132,4364.41793602605,0.999644036530326
"3",0.335,0.128,0.25,0.42,0.544,2263.72311599931,1.00058466212684
"4",0.128,0.018,0.082,0.173,0.235,3903.61254658164,0.999424920852411
