"site","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.198,-0.614,-0.324,-0.048,0.133,642.509835239484,1.00971572656472
"2",-0.012,-0.395,-0.124,0.102,0.353,846.899907240303,1.00784152618355
"3",0.036,-0.345,-0.082,0.155,0.45,665.672426442646,1.00465815489095
"4",0.188,-0.133,0.033,0.318,0.601,631.694931231991,1.00593135672148
