date,maxTempC,meanTempC,minTempC,source,year,doy,GDD_5,GDD_10
2018-01-01,-10.511111111111111,-15.294155092592591,-19.01111111111111,weldhillsite,2018,1,0,0
2018-01-02,-7.866666666666666,-12.522222222222222,-18.744444444444444,weldhillsite,2018,2,0,0
2018-01-03,-1.6111111111111103,-6.735069444444445,-10.68888888888889,weldhillsite,2018,3,0,0
2018-01-04,-1.672222222222223,-3.875462962962963,-6.927777777777777,weldhillsite,2018,4,0,0
2018-01-05,-5.138888888888888,-10.514351851851853,-14.866666666666665,weldhillsite,2018,5,0,0
2018-01-06,-11.28888888888889,-14.117476851851851,-17.555555555555557,weldhillsite,2018,6,0,0
2018-01-07,-9.133333333333331,-14.549594907407407,-20.355555555555554,weldhillsite,2018,7,0,0
2018-01-08,1.8055555555555556,-2.195370370370371,-8.761111111111111,weldhillsite,2018,8,0,0
2018-01-09,5.511111111111112,1.4214120370370371,-1.811111111111112,weldhillsite,2018,9,0.2555555555555564,0
2018-01-10,3.0333333333333337,-1.5347222222222219,-7.866666666666666,weldhillsite,2018,10,0.2555555555555564,0
2018-01-11,11.344444444444445,6.944328703703704,0.8777777777777768,weldhillsite,2018,11,3.427777777777779,0.6722222222222225
2018-01-12,16.655555555555555,12.914699074074075,8.044444444444443,weldhillsite,2018,12,10.777777777777777,4
2018-01-13,16.222222222222225,5.6984375,-7.283333333333333,weldhillsite,2018,13,16.38888888888889,7.1111111111111125
2018-01-14,-5.605555555555555,-8.451331018518518,-10.65,weldhillsite,2018,14,16.38888888888889,7.1111111111111125
2018-01-15,-6.544444444444445,-9.14681712962963,-11.538888888888888,weldhillsite,2018,15,16.38888888888889,7.1111111111111125
2018-01-16,0.6333333333333336,-2.5244791666666657,-6.644444444444445,weldhillsite,2018,16,16.38888888888889,7.1111111111111125
2018-01-17,1.2611111111111128,0.14942129629629622,-0.6500000000000009,weldhillsite,2018,17,16.38888888888889,7.1111111111111125
2018-01-18,-0.561111111111112,-3.4993055555555554,-7.316666666666667,weldhillsite,2018,18,16.38888888888889,7.1111111111111125
2018-01-19,1.2055555555555564,-2.5631944444444437,-6.705555555555556,weldhillsite,2018,19,16.38888888888889,7.1111111111111125
2018-01-20,8.322222222222221,3.853124999999999,-1.811111111111112,weldhillsite,2018,20,18.05,7.1111111111111125
2018-01-21,9.41111111111111,3.4945023148148158,-0.6222222222222228,weldhillsite,2018,21,20.255555555555556,7.1111111111111125
2018-01-22,3.75,2.722627314814815,1.1777777777777763,weldhillsite,2018,22,20.255555555555556,7.1111111111111125
2018-01-23,13.211111111111112,3.753703703703704,0.49444444444444474,weldhillsite,2018,23,24.361111111111114,8.716666666666669
2018-01-24,4.2444444444444445,1.341666666666667,-4.016666666666667,weldhillsite,2018,24,24.361111111111114,8.716666666666669
2018-01-25,-1.5277777777777777,-4.776273148148149,-6.9,weldhillsite,2018,25,24.361111111111114,8.716666666666669
2018-01-26,1.2055555555555564,-4.357986111111111,-8.427777777777779,weldhillsite,2018,26,24.361111111111114,8.716666666666669
2018-01-27,11.805555555555555,5.177662037037037,-4.377777777777777,weldhillsite,2018,27,27.763888888888893,9.619444444444447
2018-01-28,11.466666666666667,7.996296296296296,2.505555555555554,weldhillsite,2018,28,30.997222222222227,10.352777777777781
2018-01-29,4.73888888888889,1.7505208333333333,-3.0666666666666664,weldhillsite,2018,29,30.997222222222227,10.352777777777781
2018-01-30,-0.5888888888888881,-3.8517939814814812,-6.927777777777777,weldhillsite,2018,30,30.997222222222227,10.352777777777781
2018-01-31,-0.39444444444444493,-4.754340277777778,-9.43888888888889,weldhillsite,2018,31,30.997222222222227,10.352777777777781
2018-02-01,8.416666666666666,2.8913773148148145,-1.5555555555555558,weldhillsite,2018,32,32.70555555555556,10.352777777777781
2018-02-02,2.2111111111111095,-3.5042245370370364,-11.866666666666665,weldhillsite,2018,33,32.70555555555556,10.352777777777781
