"spp","mean","p5","p25","p75","p95","spp_name","n_eff","Rhat"
"1",1.75688217155061,-0.862331772976155,0.668904599037345,2.81250654012937,4.4278621816027,"A. incana",9407.84924946232,1.0005175042599
"2",4.42789261772635,0.410818235113326,2.72299790880443,6.06731229506759,8.49031368365182,"B. alleghaniensis",8362.75785000225,1.00021084128181
"3",15.9852779652101,6.0661163243598,11.7282926393556,20.0473224507425,26.284452495048,"B. papyrifera",5368.49961309696,1.00000263719438
"4",6.32260251605669,2.18148026511541,4.53392754314226,8.03927817956272,10.7450067060029,"B. populifolia",8175.98737984652,1.00040138091442
