"spp","mean","p5","p25","p75","p95"
"1",-0.187,-3.626,-1.574,1.212,3.196
"2",-0.284,-3.753,-1.666,1.116,3.091
"3",-0.347,-3.814,-1.731,1.043,3.04
"4",0.02,-3.412,-1.355,1.408,3.402
