"sigma","mean","p5","p25","p75","p95","n_eff","Rhat"
"sigma_asite",0.174,0.019,0.073,0.216,0.48,2761.87932993667,1.00049387463885
"sigma_atreeid",0.177,0.053,0.139,0.222,0.277,1396.98937571582,1.00275806776957
"sigma_y",0.483,0.437,0.463,0.503,0.533,3051.67166847556,1.00141779048834
