"spp","mean","p5","p25","p75","p95"
"1",0.06,-0.044,0.018,0.102,0.165
"2",0.104,-0.027,0.051,0.156,0.232
"3",0.37,0.072,0.245,0.492,0.668
"4",-0.005,-0.163,-0.07,0.059,0.15
