"site","mean","p5","p25","p75","p95","n_eff","Rhat"
"1",-0.11,-0.467,-0.204,0.001,0.168,640.384117142983,1.00805077882196
"2",-0.093,-0.454,-0.185,0.016,0.191,629.498590811139,1.00971156346671
"3",0.057,-0.232,-0.043,0.152,0.419,651.188418889637,1.00914076358358
"4",0.15,-0.112,0.02,0.257,0.516,677.939902592542,1.00791131682169
