"sigma","mean","p5","p25","p75","p95","n_eff","Rhat"
"sigma_asite",0.168,0.017,0.069,0.209,0.46,3315.40926702715,1.00043584918849
"sigma_atreeid",0.186,0.071,0.15,0.228,0.278,1521.48105212609,1.00061925007364
"sigma_y",0.468,0.424,0.448,0.487,0.516,4226.37773111297,0.999698550066143
