year,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,provenance.lat,provenance.long,treeid,spp,pgs,fgs,budburstGDD5,budsetGDD5,leafoutGDD5,leafcolorGDD5,budburstGDD10,budsetGDD10,leafoutGDD10,leafcolorGDD10,pgsGDD5,fgsGDD5,pgsGDD10,fgsGDD10,sppyear,budsetAVG,budsetGDDAVG,fullGDD,siteplot,site,plot,replicate
2020,108,NA,154,NA,NA,NA,297,282,229,44.794942,-71.146683,ALNINC_GR8A_P5,ALNINC,128,75,211.25,2665.0277777777765,544.4166666666665,1937.5555555555552,71.5,1764.6388888888885,261.5833333333333,1281.5833333333335,2120.61111111111,1393.1388888888887,1503.0555555555552,1020.0000000000002,ALNINC2020,281,2659.222222222221,3024.833333333331,GR8A,GR,8A,P5
2020,98,NA,154,NA,NA,NA,NA,282,293,44.794942,-71.146683,ALNINC_GR8B_P5,ALNINC,128,139,173.6666666666667,2665.0277777777765,544.4166666666665,2752.5833333333317,60.8611111111111,1764.6388888888885,261.5833333333333,1810.2499999999995,2120.61111111111,2208.166666666665,1503.0555555555552,1548.6666666666663,ALNINC2020,281,2659.222222222221,3024.833333333331,GR8B,GR,8B,P5
2018,114,128,128,89,NA,151,187,297,NA,42.531705,-72.18992,ALNINC_HF1_P1,ALNINC,169,NA,202.07222222222225,2824.0361111111097,351.5,NA,75.2,1845.1249999999998,166.65000000000003,NA,2472.5361111111097,NA,1678.4749999999997,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF1,HF,1,P1
2018,114,NA,124,NA,NA,NA,187,297,NA,42.531705,-72.18992,ALNINC_HF2_P1,ALNINC,173,NA,202.07222222222225,2824.0361111111097,310.475,NA,75.2,1845.1249999999998,143.61666666666667,NA,2513.5611111111098,NA,1701.5083333333332,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF2,HF,2,P1
2019,107,122.5,119,NA,86,147,NA,249,249,42.531705,-72.18992,ALNINC_HF1_P1,ALNINC,130,130,182.93888888888887,2186.3972222222224,269.6416666666667,2186.3972222222224,73.8111111111111,1422.6194444444445,117.71111111111111,1422.6194444444445,1916.7555555555557,1916.7555555555557,1304.9083333333333,1304.9083333333333,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF1,HF,1,P1
2019,107,125.33333333333333,136,NA,NA,147,NA,249,263,42.531705,-72.18992,ALNINC_HF2_P1,ALNINC,113,127,182.93888888888887,2186.3972222222224,365.1194444444446,2347.4972222222227,73.8111111111111,1422.6194444444445,160.1305555555556,1522.4333333333334,1821.2777777777778,1982.3777777777782,1262.488888888889,1362.302777777778,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF2,HF,2,P1
2020,108,NA,133,NA,NA,NA,NA,282,293,42.531705,-72.18992,ALNINC_HF1_P1,ALNINC,149,160,211.25,2665.0277777777765,327.1666666666665,2752.5833333333317,71.5,1764.6388888888885,125.19444444444446,1810.2499999999995,2337.86111111111,2425.416666666665,1639.444444444444,1685.0555555555552,ALNINC2020,281,2659.222222222221,3024.833333333331,HF1,HF,1,P1
2020,108,NA,143,NA,NA,NA,275,282,275,42.531705,-72.18992,ALNINC_HF2_P1,ALNINC,139,132,211.25,2665.0277777777765,415.6666666666665,2606.083333333332,71.5,1764.6388888888885,177.88888888888891,1731.2499999999993,2249.36111111111,2190.4166666666656,1586.7499999999995,1553.3611111111104,ALNINC2020,281,2659.222222222221,3024.833333333331,HF2,HF,2,P1
2018,110,82,124,58,NA,151,184,274,NA,42.531705,-72.18992,ALNINC_HF8_P12,ALNINC,150,NA,177.94722222222225,2649.3861111111105,310.475,NA,61.074999999999996,1749.4333333333338,143.61666666666667,NA,2338.9111111111106,NA,1605.816666666667,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF8,HF,8,P12
2019,103,127,127,NA,NA,147,221,263,249,42.531705,-72.18992,ALNINC_HF8_P12,ALNINC,136,122,152.6111111111111,2347.4972222222227,309.5583333333334,2186.3972222222224,56.8,1522.4333333333334,133.49444444444444,1422.6194444444445,2037.9388888888893,1876.838888888889,1388.9388888888889,1289.125,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF8,HF,8,P12
2020,NA,NA,157,NA,NA,NA,NA,282,293,42.531705,-72.18992,ALNINC_HF8_P12,ALNINC,125,136,NA,2665.0277777777765,594.9999999999999,2752.5833333333317,NA,1764.6388888888885,297.16666666666663,1810.2499999999995,2070.0277777777765,2157.5833333333317,1467.4722222222217,1513.083333333333,ALNINC2020,281,2659.222222222221,3024.833333333331,HF8,HF,8,P12
2018,110,82,121,58,NA,151,180,246,NA,42.531705,-72.18992,ALNINC_HF9_P15,ALNINC,125,NA,177.94722222222225,2267.5999999999995,253.175,NA,61.074999999999996,1504.3694444444445,101.31666666666668,NA,2014.4249999999995,NA,1403.052777777778,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF9,HF,9,P15
2019,97,133.33333333333334,119,NA,NA,142,211,253,245,42.531705,-72.18992,ALNINC_HF9_P15,ALNINC,134,126,128.325,2237.027777777778,269.6416666666667,2130.6666666666665,46.111111111111114,1453.2500000000002,117.71111111111111,1386.8888888888891,1967.3861111111112,1861.0249999999999,1335.5388888888892,1269.177777777778,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF9,HF,9,P15
2020,NA,NA,154,NA,NA,NA,NA,282,275,42.531705,-72.18992,ALNINC_HF9_P15,ALNINC,128,121,NA,2665.0277777777765,544.4166666666665,2606.083333333332,NA,1764.6388888888885,261.5833333333333,1731.2499999999993,2120.61111111111,2061.6666666666656,1503.0555555555552,1469.666666666666,ALNINC2020,281,2659.222222222221,3024.833333333331,HF9,HF,9,P15
2018,NA,NA,142,NA,NA,NA,NA,263,NA,42.531705,-72.18992,ALNINC_HF1_P16,ALNINC,121,NA,NA,2530.8499999999995,488.41388888888883,NA,NA,1682.6194444444445,243.28611111111115,NA,2042.4361111111107,NA,1439.3333333333335,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF1,HF,1,P16
2019,107,100,119,86,NA,168,228,249,232,42.531705,-72.18992,ALNINC_HF1_P16,ALNINC,130,113,182.93888888888887,2186.3972222222224,269.6416666666667,1932.7444444444443,73.8111111111111,1422.6194444444445,117.71111111111111,1253.7944444444447,1916.7555555555557,1663.1027777777776,1304.9083333333333,1136.0833333333335,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF1,HF,1,P16
2020,NA,NA,135,NA,NA,NA,268,282,275,42.531705,-72.18992,ALNINC_HF1_P16,ALNINC,147,140,NA,2665.0277777777765,340.72222222222206,2606.083333333332,NA,1764.6388888888885,133.75,1731.2499999999993,2324.3055555555543,2265.36111111111,1630.8888888888885,1597.4999999999993,ALNINC2020,281,2659.222222222221,3024.833333333331,HF1,HF,1,P16
2018,110,82,128,58,NA,149,180,288,297,42.531705,-72.18992,ALNINC_HF9_P2,ALNINC,160,169,177.94722222222225,2786.038888888888,351.5,2824.0361111111097,61.074999999999996,1828.3805555555555,166.65000000000003,1845.1249999999998,2434.538888888888,2472.5361111111097,1661.7305555555554,1678.4749999999997,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF9,HF,9,P2
2019,100,124.5,132,NA,86,147,228,253,240,42.531705,-72.18992,ALNINC_HF9_P2,ALNINC,121,108,132.5222222222222,2237.027777777778,346.06111111111125,2053.336111111111,46.71111111111111,1453.2500000000002,151.04444444444448,1334.5583333333336,1890.9666666666667,1707.275,1302.2055555555557,1183.5138888888891,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF9,HF,9,P2
2020,100,NA,154,NA,NA,NA,275,282,293,42.531705,-72.18992,ALNINC_HF9_P2,ALNINC,128,139,179.0555555555556,2665.0277777777765,544.4166666666665,2752.5833333333317,61.249999999999986,1764.6388888888885,261.5833333333333,1810.2499999999995,2120.61111111111,2208.166666666665,1503.0555555555552,1548.6666666666663,ALNINC2020,281,2659.222222222221,3024.833333333331,HF9,HF,9,P2
2018,110,82,128,58,121,151,NA,239,NA,42.531705,-72.18992,ALNINC_HF5_P6,ALNINC,111,NA,177.94722222222225,2132.0749999999994,351.5,NA,61.074999999999996,1403.8444444444447,166.65000000000003,NA,1780.5749999999994,NA,1237.1944444444446,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF5,HF,5,P6
2018,114,NA,124,NA,NA,NA,NA,263,NA,42.531705,-72.18992,ALNINC_HF9_P6,ALNINC,139,NA,202.07222222222225,2530.8499999999995,310.475,NA,75.2,1682.6194444444445,143.61666666666667,NA,2220.3749999999995,NA,1539.0027777777777,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF9,HF,9,P6
2019,103,124.5,129,NA,NA,147,211,263,240,42.531705,-72.18992,ALNINC_HF5_P6,ALNINC,134,111,152.6111111111111,2347.4972222222227,322.613888888889,2053.336111111111,56.8,1522.4333333333334,139.60555555555555,1334.5583333333336,2024.8833333333337,1730.7222222222222,1382.8277777777778,1194.952777777778,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF5,HF,5,P6
2019,100,121,123,NA,86,147,232,253,240,42.531705,-72.18992,ALNINC_HF9_P6,ALNINC,130,117,132.5222222222222,2237.027777777778,284.33333333333337,2053.336111111111,46.71111111111111,1453.2500000000002,122.04444444444445,1334.5583333333336,1952.6944444444443,1769.0027777777777,1331.2055555555557,1212.5138888888891,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF9,HF,9,P6
2020,100,NA,154,NA,NA,NA,293,282,275,42.531705,-72.18992,ALNINC_HF5_P6,ALNINC,128,121,179.0555555555556,2665.0277777777765,544.4166666666665,2606.083333333332,61.249999999999986,1764.6388888888885,261.5833333333333,1731.2499999999993,2120.61111111111,2061.6666666666656,1503.0555555555552,1469.666666666666,ALNINC2020,281,2659.222222222221,3024.833333333331,HF5,HF,5,P6
2020,98,NA,157,NA,NA,NA,293,282,293,42.531705,-72.18992,ALNINC_HF9_P6,ALNINC,125,136,173.6666666666667,2665.0277777777765,594.9999999999999,2752.5833333333317,60.8611111111111,1764.6388888888885,297.16666666666663,1810.2499999999995,2070.0277777777765,2157.5833333333317,1467.4722222222217,1513.083333333333,ALNINC2020,281,2659.222222222221,3024.833333333331,HF9,HF,9,P6
2018,110,96,128,58,89,156,180,268,NA,42.531705,-72.18992,ALNINC_HF9_P9,ALNINC,140,NA,177.94722222222225,2579.969444444444,351.5,NA,61.074999999999996,1708.5444444444447,166.65000000000003,NA,2228.469444444444,NA,1541.8944444444446,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,HF9,HF,9,P9
2019,100,125,123,NA,NA,147,218,253,232,42.531705,-72.18992,ALNINC_HF9_P9,ALNINC,130,109,132.5222222222222,2237.027777777778,284.33333333333337,1932.7444444444443,46.71111111111111,1453.2500000000002,122.04444444444445,1253.7944444444447,1952.6944444444443,1648.411111111111,1331.2055555555557,1131.7500000000002,ALNINC2019,263,2347.4972222222227,2826.3750000000005,HF9,HF,9,P9
2020,NA,NA,164,NA,NA,NA,280.5,282,275,42.531705,-72.18992,ALNINC_HF9_P9,ALNINC,118,111,NA,2665.0277777777765,697.1944444444443,2606.083333333332,NA,1764.6388888888885,364.72222222222223,1731.2499999999993,1967.8333333333321,1908.8888888888878,1399.9166666666663,1366.5277777777771,ALNINC2020,281,2659.222222222221,3024.833333333331,HF9,HF,9,P9
2018,103,NA,124,NA,NA,NA,NA,277,NA,45.932675,-74.02507,ALNINC_SH1_P1,ALNINC,153,NA,161.7027777777778,2680.6749999999993,310.475,NA,57.66944444444444,1765.7222222222226,143.61666666666667,NA,2370.1999999999994,NA,1622.1055555555558,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,SH1,SH,1,P1
2019,93,NA,119,NA,NA,NA,NA,274,267,45.932675,-74.02507,ALNINC_SH1_P1,ALNINC,155,148,109.77222222222221,2503.252777777778,269.6416666666667,2416.3222222222225,37.05277777777778,1623.361111111111,117.71111111111111,1571.2583333333334,2233.6111111111113,2146.6805555555557,1505.65,1453.5472222222224,ALNINC2019,263,2347.4972222222227,2826.3750000000005,SH1,SH,1,P1
2020,85,NA,154,NA,NA,NA,NA,NA,248,45.932675,-74.02507,ALNINC_SH1_P1,ALNINC,NA,94,138.13888888888894,NA,544.4166666666665,2254.9722222222217,47.361111111111114,NA,261.5833333333333,1504.0000000000002,NA,1710.5555555555552,NA,1242.416666666667,ALNINC2020,281,2659.222222222221,3024.833333333331,SH1,SH,1,P1
2018,110,82,124,NA,58,151,180,263,NA,45.932675,-74.02507,ALNINC_SH1_P12,ALNINC,139,NA,177.94722222222225,2530.8499999999995,310.475,NA,61.074999999999996,1682.6194444444445,143.61666666666667,NA,2220.3749999999995,NA,1539.0027777777777,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,SH1,SH,1,P12
2019,103,121,123,74,NA,142,211,263,245,45.932675,-74.02507,ALNINC_SH1_P12,ALNINC,140,122,152.6111111111111,2347.4972222222227,284.33333333333337,2130.6666666666665,56.8,1522.4333333333334,122.04444444444445,1386.8888888888891,2063.1638888888892,1846.333333333333,1400.388888888889,1264.8444444444447,ALNINC2019,263,2347.4972222222227,2826.3750000000005,SH1,SH,1,P12
2020,NA,NA,143,NA,NA,NA,284,275,293,45.932675,-74.02507,ALNINC_SH1_P12,ALNINC,132,150,NA,2606.083333333332,415.6666666666665,2752.5833333333317,NA,1731.2499999999993,177.88888888888891,1810.2499999999995,2190.4166666666656,2336.916666666665,1553.3611111111104,1632.3611111111106,ALNINC2020,281,2659.222222222221,3024.833333333331,SH1,SH,1,P12
2018,110,NA,124,NA,NA,NA,NA,274,297,45.932675,-74.02507,ALNINC_SH4_P15,ALNINC,150,173,177.94722222222225,2649.3861111111105,310.475,2824.0361111111097,61.074999999999996,1749.4333333333338,143.61666666666667,1845.1249999999998,2338.9111111111106,2513.5611111111098,1605.816666666667,1701.5083333333332,ALNINC2018,270,2611.2166666666662,2950.9972222222204,SH4,SH,4,P15
2019,97,100,115,NA,86,150,211,253,240,45.932675,-74.02507,ALNINC_SH4_P15,ALNINC,138,125,128.325,2237.027777777778,253.60277777777776,2053.336111111111,46.111111111111114,1453.2500000000002,112.26944444444445,1334.5583333333336,1983.4250000000002,1799.7333333333336,1340.9805555555558,1222.2888888888892,ALNINC2019,263,2347.4972222222227,2826.3750000000005,SH4,SH,4,P15
2020,NA,NA,154,NA,NA,NA,NA,275,275,45.932675,-74.02507,ALNINC_SH4_P15,ALNINC,121,121,NA,2606.083333333332,544.4166666666665,2606.083333333332,NA,1731.2499999999993,261.5833333333333,1731.2499999999993,2061.6666666666656,2061.6666666666656,1469.666666666666,1469.666666666666,ALNINC2020,281,2659.222222222221,3024.833333333331,SH4,SH,4,P15
2018,NA,NA,142,NA,NA,NA,NA,274,297,45.932675,-74.02507,ALNINC_SH3_P16,ALNINC,132,155,NA,2649.3861111111105,488.41388888888883,2824.0361111111097,NA,1749.4333333333338,243.28611111111115,1845.1249999999998,2160.9722222222217,2335.622222222221,1506.1472222222228,1601.8388888888885,ALNINC2018,270,2611.2166666666662,2950.9972222222204,SH3,SH,3,P16
2019,97,128.5,119,NA,86,161,228,263,240,45.932675,-74.02507,ALNINC_SH3_P16,ALNINC,144,121,128.325,2347.4972222222227,269.6416666666667,2053.336111111111,46.111111111111114,1522.4333333333334,117.71111111111111,1334.5583333333336,2077.855555555556,1783.6944444444446,1404.7222222222222,1216.8472222222226,ALNINC2019,263,2347.4972222222227,2826.3750000000005,SH3,SH,3,P16
2020,NA,NA,157,NA,NA,NA,275,282,293,45.932675,-74.02507,ALNINC_SH3_P16,ALNINC,125,136,NA,2665.0277777777765,594.9999999999999,2752.5833333333317,NA,1764.6388888888885,297.16666666666663,1810.2499999999995,2070.0277777777765,2157.5833333333317,1467.4722222222217,1513.083333333333,ALNINC2020,281,2659.222222222221,3024.833333333331,SH3,SH,3,P16
