"spp","mean","p5","p25","p75","p95"
"1",0.1,0.003,0.06,0.14,0.194
"2",0.064,-0.054,0.016,0.112,0.183
"3",0.375,0.113,0.271,0.479,0.631
"4",0.105,-0.045,0.045,0.166,0.26
