"spp","mean","p5","p25","p75","p95"
"1",-0.137,-3.483,-1.528,1.205,3.379
"2",-0.217,-3.575,-1.615,1.118,3.294
"3",-0.315,-3.688,-1.713,1.011,3.212
"4",0,-3.355,-1.399,1.344,3.519
