"year","budburst","flowers","leafout","flobuds","flobudburst","fruit","ripefruit","budset","leafcolor","provenance.lat","provenance.long","treeid","spp"
2019,100,125,123,NA,NA,147,218,253,232,42.531705,-72.18992,"ALNINC_HF9_P9","ALNINC"
2019,93,NA,119,NA,NA,NA,NA,274,267,45.932675,-74.02507,"ALNINC_SH1_P1","ALNINC"
2019,103,121,123,74,NA,142,211,263,245,45.932675,-74.02507,"ALNINC_SH1_P12","ALNINC"
2019,97,128.5,119,NA,86,161,228,263,240,45.932675,-74.02507,"ALNINC_SH3_P16","ALNINC"
2019,97,100,115,NA,86,150,211,253,240,45.932675,-74.02507,"ALNINC_SH4_P15","ALNINC"
2019,NA,123.5,123,74,NA,147,186,NA,240,45.932675,-74.02507,"ALNINC_SH4_P2","ALNINC"
2019,97,123.5,129,NA,NA,147,218,260,245,45.932675,-74.02507,"ALNINC_SH5_P2","ALNINC"
2019,103,122,123,NA,NA,147,225,274,240,45.932675,-74.02507,"ALNINC_SH5_P3","ALNINC"
2019,97,121,112,74,NA,142,193,274,240,45.932675,-74.02507,"ALNINC_SH6_P5","ALNINC"
2019,103,123.5,129,86,NA,147,190,274,240,45.932675,-74.02507,"ALNINC_SH8_P9","ALNINC"
2019,100,147,123,NA,NA,147,NA,249,245,44.112337,-71.230138,"ALNINC_WM1_P1","ALNINC"
2019,NA,100,112,74,NA,221,NA,253,245,44.112337,-71.230138,"ALNINC_WM2A_P1","ALNINC"
2019,103,123.5,119,74,NA,140,218,263,232,44.112337,-71.230138,"ALNINC_WM2B_P1","ALNINC"
2019,97,100,112,NA,86,155,NA,274,245,44.112337,-71.230138,"ALNINC_WM5_P1","ALNINC"
2019,NA,122,112,NA,NA,147,228,274,240,44.112337,-71.230138,"ALNINC_WM5A_P16","ALNINC"
2019,100,107,123,NA,NA,NA,221,253,245,44.112337,-71.230138,"ALNINC_WM5A_P2","ALNINC"
2019,97,103,123,NA,NA,161,228,274,240,44.112337,-71.230138,"ALNINC_WM5B_P16","ALNINC"
2019,103,123.5,119,NA,86,147,245,274,240,44.112337,-71.230138,"ALNINC_WM5B_P2","ALNINC"
2020,98,NA,143,NA,NA,NA,275,282,293,44.794942,-71.146683,"ALNINC_GR1_P3","ALNINC"
2020,91,NA,148,NA,NA,NA,NA,282,293,44.794942,-71.146683,"ALNINC_GR1_P5","ALNINC"
2020,91,NA,154,NA,NA,NA,268,268,241,44.794942,-71.146683,"ALNINC_GR11_P1","ALNINC"
2020,NA,119,143,NA,NA,NA,NA,282,263,44.794942,-71.146683,"ALNINC_GR11_P15","ALNINC"
2020,85,NA,154,NA,NA,NA,275,282,293,44.794942,-71.146683,"ALNINC_GR11A_P3","ALNINC"
2020,98,NA,148,NA,NA,NA,NA,282,275,44.794942,-71.146683,"ALNINC_GR11B_P3","ALNINC"
2020,NA,NA,143,NA,NA,NA,275,282,293,44.794942,-71.146683,"ALNINC_GR8_P16","ALNINC"
2020,91,108,154,NA,NA,NA,NA,282,293,44.794942,-71.146683,"ALNINC_GR8_P3","ALNINC"
2020,108,NA,154,NA,NA,NA,297,282,229,44.794942,-71.146683,"ALNINC_GR8A_P5","ALNINC"
2020,98,NA,154,NA,NA,NA,NA,282,293,44.794942,-71.146683,"ALNINC_GR8B_P5","ALNINC"
2020,108,NA,133,NA,NA,NA,NA,282,293,42.531705,-72.18992,"ALNINC_HF1_P1","ALNINC"
2020,NA,NA,135,NA,NA,NA,268,282,275,42.531705,-72.18992,"ALNINC_HF1_P16","ALNINC"
2020,108,NA,143,NA,NA,NA,275,282,275,42.531705,-72.18992,"ALNINC_HF2_P1","ALNINC"
2020,100,NA,154,NA,NA,NA,293,282,275,42.531705,-72.18992,"ALNINC_HF5_P6","ALNINC"
2020,NA,NA,157,NA,NA,NA,NA,282,293,42.531705,-72.18992,"ALNINC_HF8_P12","ALNINC"
2020,NA,NA,154,NA,NA,NA,NA,282,275,42.531705,-72.18992,"ALNINC_HF9_P15","ALNINC"
2020,100,NA,154,NA,NA,NA,275,282,293,42.531705,-72.18992,"ALNINC_HF9_P2","ALNINC"
2020,98,NA,157,NA,NA,NA,293,282,293,42.531705,-72.18992,"ALNINC_HF9_P6","ALNINC"
2020,NA,NA,164,NA,NA,NA,280.5,282,275,42.531705,-72.18992,"ALNINC_HF9_P9","ALNINC"
2020,85,NA,154,NA,NA,NA,NA,NA,248,45.932675,-74.02507,"ALNINC_SH1_P1","ALNINC"
2020,NA,NA,143,NA,NA,NA,284,275,293,45.932675,-74.02507,"ALNINC_SH1_P12","ALNINC"
2020,NA,NA,157,NA,NA,NA,275,282,293,45.932675,-74.02507,"ALNINC_SH3_P16","ALNINC"
2020,NA,NA,154,NA,NA,NA,NA,275,275,45.932675,-74.02507,"ALNINC_SH4_P15","ALNINC"
2020,98,NA,157,NA,NA,NA,275,282,293,45.932675,-74.02507,"ALNINC_SH4_P2","ALNINC"
2020,91,NA,NA,NA,NA,NA,NA,282,293,45.932675,-74.02507,"ALNINC_SH5_P2","ALNINC"
2020,98,NA,139,NA,NA,NA,275,282,293,45.932675,-74.02507,"ALNINC_SH5_P3","ALNINC"
2020,85,NA,148,NA,NA,NA,NA,282,293,45.932675,-74.02507,"ALNINC_SH6_P5","ALNINC"
2020,NA,NA,NA,NA,NA,NA,NA,282,293,45.932675,-74.02507,"ALNINC_SH8_P9","ALNINC"
2020,108,NA,143,NA,NA,NA,NA,282,293,44.112337,-71.230138,"ALNINC_WM1_P1","ALNINC"
2020,98,NA,154,NA,NA,NA,291.5,NA,241,44.112337,-71.230138,"ALNINC_WM2A_P1","ALNINC"
2020,98,NA,148,NA,NA,NA,301,282,293,44.112337,-71.230138,"ALNINC_WM2B_P1","ALNINC"
2020,85,NA,148,NA,NA,NA,NA,282,275,44.112337,-71.230138,"ALNINC_WM5_P1","ALNINC"
2020,NA,NA,148,NA,NA,NA,NA,282,293,44.112337,-71.230138,"ALNINC_WM5A_P16","ALNINC"
2020,98,NA,143,NA,NA,NA,NA,282,293,44.112337,-71.230138,"ALNINC_WM5A_P2","ALNINC"
