"sigma","mean","p5","p25","p75","p95","n_eff","Rhat"
"sigma_asite",0.16,0.016,0.066,0.197,0.45,2986.81107815158,1.00092057739936
"sigma_atreeid",0.213,0.11,0.18,0.251,0.304,1719.11253660556,1.00090562487805
"sigma_y",0.472,0.428,0.452,0.49,0.52,3087.25075562501,1.00057123469615
