"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 03/05/2026

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 42.3125 North,-71.1042 East" 
Variable List: 
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
vpd: vpd (Vapor Pressure Deficit)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
srad: srad (Downward Radiation)
********************************************************
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),vpd(kPa),PDSI(unitless),srad(W/m^2)
2005,1,0.9,-8.2,129.8,99.9,0.15,1.62,62.5
2005,2,3.6,-5.7,63.7,99.9,0.23,1.08,113.5
2005,3,6,-3.9,138.5,99.9,0.29,1.66,157.6
2005,4,15.9,3.7,105.7,99.9,0.61,1.45,204.7
2005,5,16.2,6.5,131,99.9,0.49,2.22,171.9
2005,6,26.2,14.2,45.5,51.3,0.78,1.98,233.8
2005,7,28.5,17.5,77.7,30.7,0.98,1.76,226
2005,8,29.1,17.9,99.1,22.6,1.01,1.52,211.5
2005,9,25.5,13.8,59.7,18,0.79,0.78,182
2005,10,17.2,7.3,339.2,99.9,0.4,4.05,83.5
2005,11,12.9,2.1,121.2,99.9,0.4,4.12,78.4
2005,12,3.7,-5.2,92.4,99.9,0.2,3.91,66.2
2006,1,6.4,-2.8,125.8,99.9,0.19,3.66,60.1
2006,2,4,-5.7,53.5,99.9,0.27,2.71,121
2006,3,8.6,-2,15.7,99.9,0.41,1.23,165.7
2006,4,15.3,4,55.5,75.6,0.61,-2.53,197.9
2006,5,19.2,8.8,212.5,99.9,0.6,-0.65,182.1
2006,6,24.7,14.8,309.8,99.9,0.62,4.73,169
2006,7,29.5,18.6,72,53.4,0.96,4.68,232.1
2006,8,27.3,16.2,81.5,31.3,0.98,4.14,206.5
2006,9,23.2,11.8,74.4,25.9,0.65,3.55,157.3
2006,10,17.7,5.8,113.4,56.2,0.57,3.3,117.8
2006,11,13.7,4.3,143.7,99.9,0.33,3.4,62.5
2006,12,8.9,-0.2,39.4,97.2,0.33,2.07,60.8
2007,1,4.9,-4.5,83.5,99.9,0.26,1.54,66.8
2007,2,1.4,-8.3,44.2,99.9,0.26,0.71,120.8
2007,3,8.4,-2.5,144.2,99.9,0.4,0.91,160.6
2007,4,12.2,2.1,199.2,99.9,0.44,2.59,156.9
2007,5,22.2,8.9,87,66.4,0.94,2.17,243.8
2007,6,25.7,13.5,64.1,34.2,0.9,1.7,236.9
2007,7,27.9,17,99.1,24.3,0.99,1.66,228.1
2007,8,28.2,16.5,45.2,19,1.07,0.58,222.4
2007,9,25.6,12.7,49.1,15.7,0.94,-1.83,190
2007,10,20.6,8.8,57.1,13.4,0.6,-2.24,107.5
2007,11,10.5,0.5,98,57.5,0.36,-2.57,73.5
2007,12,3.9,-5,140.3,79.8,0.2,-2.16,51.6
2008,1,4.5,-5,67,99.9,0.23,-2.43,70.8
2008,2,4.4,-4.7,165.4,99.9,0.23,-0.87,93.4
2008,3,7.8,-2.1,147.6,99.9,0.36,1.56,145.1
2008,4,15.3,3.6,102.8,99.9,0.57,1.37,200.9
2008,5,19.7,7.8,52.1,50.2,0.82,0.71,231.9
2008,6,26.6,15.2,71.2,30.4,0.99,-0.31,224.2
2008,7,29.1,18.3,125,23.2,1.02,0.4,236.7
2008,8,26.1,15.5,140.3,33.7,0.77,0.97,215.8
2008,9,23.2,12.8,226.6,99.9,0.59,2.87,152.4
2008,10,16.9,5.2,62.5,91.6,0.52,2.4,126.2
2008,11,10.3,0.9,113.3,99.9,0.34,2.54,72.1
2008,12,6.7,-3.5,178.8,99.9,0.25,3.33,49.6
2009,1,-0.3,-10.2,98.5,99.9,0.15,3.05,78.8
2009,2,5.1,-5.6,57.1,99.9,0.28,2.19,123.4
2009,3,8.1,-2.2,90,99.9,0.35,1.59,147.1
2009,4,15.8,3.9,88.8,99.9,0.61,1.1,204.5
2009,5,20.9,9.3,87.1,82,0.76,1.09,184.4
2009,6,22.2,12.7,97.1,80.2,0.61,1.58,170.3
2009,7,26.4,15.8,190.1,99.9,0.78,3.35,213
2009,8,28.8,17.7,162.2,99.9,0.97,4.73,211.5
2009,9,22.7,11.3,45.3,66.5,0.64,4.21,174.4
2009,10,16.1,5,170.5,99.9,0.44,5.03,96.2
2009,11,13.2,4.1,114.6,99.9,0.35,5,64.5
2009,12,4.5,-4.6,123.5,99.9,0.25,5.05,62
2010,1,2.3,-6.8,82.9,99.9,0.18,4.35,77.1
2010,2,4,-3.8,114.5,99.9,0.27,4.3,106.2
2010,3,10.9,1.3,346.7,99.9,0.4,6.86,125.3
2010,4,17.3,5,70.6,80.4,0.67,5.55,206.3
2010,5,23.3,10.5,54,36,1.03,4.13,244.9
2010,6,27,15.2,67.5,25.1,0.98,3.12,222.8
2010,7,30.9,18.9,66.5,19.5,1.37,2.24,243
2010,8,28.6,17.2,133.5,17.2,1.08,2.31,205.7
2010,9,25.5,14.1,60,14.5,0.87,1.43,165.2
2010,10,18,6.6,124.1,53.2,0.57,1.46,107.3
2010,11,11.6,1.6,87.5,85.1,0.4,0.87,69
2010,12,3.7,-4.8,103.6,99.9,0.23,0.81,63.1
2011,1,1,-8,118.2,99.9,0.15,1.09,74.5
2011,2,3.7,-7.5,102.8,99.9,0.24,1.28,108.9
2011,3,8.5,-1.6,65.6,99.9,0.38,-1.48,140.5
2011,4,14.9,4.2,125.3,99.9,0.5,-0.86,169.9
2011,5,20.1,9.8,99.1,97.5,0.59,0.37,180.9
2011,6,24.6,13.8,82.1,71.7,0.79,1.11,216.7
2011,7,30.4,18.4,55.3,35,1.25,0.8,245.4
2011,8,27.8,17.2,192.6,92.9,0.86,2.02,198.3
2011,9,24.6,13.8,123.2,99.9,0.6,2.71,153.1
2011,10,18.2,7.5,189.8,99.9,0.55,4.05,108
2011,11,15,3.4,104.6,99.9,0.44,3.87,81.4
2011,12,8.5,-1.3,88.8,99.9,0.29,3.2,64.1
2012,1,5.2,-4.3,84.3,99.9,0.25,2.56,75.8
2012,2,7.3,-2.8,30.9,99.9,0.35,0.82,114.5
2012,3,13.1,2.2,53.9,92.5,0.49,-2.76,143.6
2012,4,16.9,4.5,71.9,66.8,0.74,-3.31,221.7
2012,5,21.4,11,90.8,59.1,0.68,-2.95,182.4
2012,6,24.6,13.8,108.7,48.7,0.82,-2.45,229.2
2012,7,29.8,18.1,72.2,29.9,1.21,-2.4,239.8
2012,8,29.5,18,81.9,22.2,1.06,-2.51,222.2
2012,9,23.6,12.7,92,20.6,0.69,-2.3,160.2
2012,10,18.6,8.1,97.1,47.7,0.48,-2.04,96.2
2012,11,10,0.6,40,44.9,0.34,-2.69,76.5
2012,12,6.6,-1.3,143.4,99.9,0.2,-2.67,48.6
2013,1,4,-5.1,47.3,99.9,0.24,-3.17,74
2013,2,3.4,-5.1,153.2,99.9,0.23,-1.7,99.5
2013,3,7.2,-1.7,96.7,99.9,0.31,-1.75,145
2013,4,14.7,3.1,54.8,83.4,0.58,-2.33,218.4
2013,5,21.6,8.5,90.7,66,0.75,-2.16,219.4
2013,6,26.3,14.4,211,99.9,0.86,1.42,220.5
2013,7,29.7,19.6,153.2,99.9,0.88,2.87,206.8
2013,8,27.5,15.3,66.4,53.8,0.98,2.91,219.1
2013,9,24.1,11.1,43.5,31.4,0.79,2.1,178.1
2013,10,18.8,5.6,25,22.9,0.59,0.9,118.9
2013,11,11.1,-0.6,68,31,0.45,-2.15,80.5
2013,12,4.4,-4.7,127.5,60.4,0.19,-2.27,51.3
2014,1,2.2,-8.7,95.8,60.4,0.2,-2.02,67.8
2014,2,2,-8.3,114.6,60.4,0.2,-1.28,110.8
2014,3,6.2,-5.4,102.6,99.9,0.35,-0.83,151.2
2014,4,14.7,2.4,90.7,99.9,0.56,-0.97,196.5
2014,5,21,8.4,72.4,68.3,0.78,-1.04,215.6
2014,6,26,12.9,69.2,34.5,0.99,-1.15,246.7
2014,7,28.8,17.1,141.3,31.3,1.01,0.64,232.6
2014,8,26.8,14.4,102,23.3,0.84,0.68,218.1
2014,9,24.4,11.7,29.1,18.5,0.75,-0.9,182.4
2014,10,18.6,7.8,134.6,78.6,0.49,0.45,102.3
2014,11,10.8,0.2,153.9,99.9,0.4,1,69.7
2014,12,6.7,-0.7,133.7,99.9,0.23,1.3,47.4
2015,1,0.9,-8.4,126.5,99.9,0.2,1.66,65
2015,2,-2,-13.2,102.6,99.9,0.15,1.81,108.7
2015,3,5.4,-5.6,89.2,99.9,0.3,1.86,153.8
2015,4,14.2,3.3,63.2,99.9,0.56,1.13,184.2
2015,5,24.1,10.1,31.8,36.7,1.05,-1.64,252
2015,6,23.9,12.8,139.6,50.4,0.78,-1.07,210.3
2015,7,28.8,17.3,100.2,32,1.03,-0.73,235.4
2015,8,29.1,17.5,41.6,23.2,1.07,-1.6,211.9
2015,9,26.8,13.7,72.3,18.4,0.89,-1.94,184.6
2015,10,17.6,5.4,90.9,26.4,0.57,-1.97,113.6
2015,11,14.2,3.1,67.1,39,0.45,-2.57,78.2
2015,12,10.9,2.1,107.6,99.9,0.28,-3.17,48
2016,1,4.4,-4.9,73.9,99.9,0.26,-3.34,74.2
2016,2,6.5,-4.7,106.2,99.9,0.28,-2.9,106
2016,3,11,0.7,77.1,99.9,0.44,-3.32,146.1
2016,4,13.9,2.5,84.3,91.8,0.57,-3.33,209.9
2016,5,20.9,8.8,62.1,58.4,0.79,-3.26,200.6
2016,6,26.2,13.8,38.8,32.5,1.1,-3.73,254.4
2016,7,30.5,18.2,65.6,23.5,1.36,-3.85,233.3
2016,8,30.7,18.2,46.8,18.6,1.28,-4.54,233.3
2016,9,25.4,13.9,61.8,15.4,0.83,-4.63,153.1
2016,10,18.5,6.6,118.5,56.7,0.52,-3.95,111.2
2016,11,12.7,1.9,67.2,71.1,0.41,-4.15,74.1
2016,12,5.3,-3.6,89.8,99.9,0.26,-4.18,59.7
2017,1,5.4,-3.2,109.9,99.9,0.22,-3.74,61.1
2017,2,7.2,-3.3,82.4,99.9,0.3,-3.93,109.8
2017,3,6.5,-3.9,105.1,99.9,0.37,-3.43,143.7
2017,4,16.9,5.2,143,99.9,0.57,-2.37,169
2017,5,19.1,8.9,119.5,99.9,0.62,-1.47,172
2017,6,26.4,14.3,91.5,69.7,0.94,-0.91,235.4
2017,7,28,16.7,168.8,95.8,0.92,2.89,219.2
2017,8,27.7,16.1,56.5,47.8,0.94,2.78,217.9
2017,9,24.8,13.8,75,39.5,0.68,2.45,157.5
2017,10,21.8,9.6,147.2,99.9,0.63,2.78,113.4
2017,11,11.8,0.7,71.2,99.9,0.39,2.26,75.7
2017,12,2.8,-5.7,72.2,99.9,0.21,1.99,61.8
2018,1,2.4,-7.6,110.8,99.9,0.18,2.03,68
2018,2,8.6,-2.3,120.2,99.9,0.29,1.84,91.5
2018,3,6.7,-1.7,170.8,99.9,0.29,2.47,132.9
2018,4,12.8,1.6,122.4,99.9,0.47,2.68,173.3
2018,5,23.5,10.5,69.4,64.2,0.85,2.18,221.4
2018,6,25.2,13.8,86,40.9,0.9,1.94,229.2
2018,7,30,18.5,102.3,27.1,1.09,1.87,250.9
2018,8,30,19.6,119.9,23.5,0.93,1.96,202.5
2018,9,24.7,14.6,146.5,77.7,0.61,2.56,133.2
2018,10,17.2,6.2,131.9,99.9,0.46,3,93.5
2018,11,9.6,0.5,204.3,99.9,0.32,4.36,63.2
2018,12,6.3,-3,70.4,99.9,0.27,3.56,66.5
2019,1,3.6,-6.3,118.3,99.9,0.25,3.53,72.4
2019,2,4.8,-4.8,93.6,99.9,0.31,3.21,105.7
2019,3,7.9,-2.5,81.2,99.9,0.36,2.37,162.3
2019,4,14.9,4.3,144.8,99.9,0.51,2.9,169.5
2019,5,19.3,8.4,102.4,95.2,0.66,2.96,191.5
2019,6,25.1,14,132.5,98.5,0.84,3.62,222
2019,7,30.9,18.9,132.7,78,1.23,4.32,255.4
2019,8,28.4,17,80.8,42.7,1.02,4.12,229.9
2019,9,24.9,12.2,43.2,27.8,0.81,3.03,185
2019,10,18.2,7.7,179.7,99.9,0.48,3.8,86.4
2019,11,10.2,-0.8,92.9,99.9,0.37,3.51,74.8
2019,12,5.6,-3.6,200.3,99.9,0.22,4.62,56.1
2020,1,6.2,-3,46.1,99.9,0.27,3.03,72
2020,2,6.3,-2.8,71.2,99.9,0.31,2.02,96.1
2020,3,11,0.5,96.6,99.9,0.46,1.31,147.7
2020,4,12.1,2.1,132.2,99.9,0.47,1.75,166.2
2020,5,20.6,8,46.5,42.8,0.85,0.89,249.7
2020,6,26.9,14.6,76.3,27.9,1.03,-2.03,250.2
2020,7,30.3,19.2,69.4,21.1,1.09,-2.17,234.5
2020,8,29.5,17.9,53.4,17.1,1.19,-2.85,217.6
2020,9,24.7,12.6,43.6,14.4,0.81,-3.38,172.8
2020,10,18.2,6.8,128.7,70.5,0.49,-2.65,101.8
2020,11,14.8,2.7,105.4,99.9,0.46,-2.57,77.8
2020,12,6.6,-2.6,186.8,99.9,0.24,-1.18,57
2021,1,3.4,-4.9,61.7,99.9,0.21,-1.61,69.4
2021,2,3.3,-4.9,97.9,99.9,0.21,-1.24,89.2
2021,3,11.3,-1.3,58.8,99.9,0.52,-2.1,175.7
2021,4,15.4,3.6,108.9,99.9,0.58,-1.95,179
2021,5,21.3,9.1,115.4,86.6,0.88,-1.46,230.5
2021,6,28.3,15.9,65.2,37.7,1.06,-1.4,251.9
2021,7,27,16.8,200.9,99.9,0.72,1.85,187
2021,8,29.3,18.6,92.4,79,0.89,2.47,194.7
2021,9,25.2,14.5,166.1,99.9,0.68,3.69,157.9
2021,10,20,9.4,170.4,99.9,0.5,4.72,102.8
2021,11,12.1,0.8,60,99.9,0.42,3.88,91.2
2021,12,8.1,-1.4,62.7,99.9,0.3,2.87,54.1
2022,1,2.8,-8.1,95.9,99.9,0.22,2.59,65.8
2022,2,6.3,-5.7,115.6,99.9,0.27,2.71,104.7
2022,3,10.6,-0.6,81,99.9,0.42,1.8,150
2022,4,15.2,4.1,85,89.8,0.62,1.21,204.2
2022,5,22,10.2,36.1,36.5,0.83,-1.92,238.5
2022,6,25.6,13.5,83.9,25.3,0.96,-2.08,233.5
2022,7,31.1,18.5,53.6,19.7,1.42,-2.66,258.6
2022,8,30.6,18.7,54.2,16.2,1.22,-3.26,212.2
2022,9,23.9,12.4,140.8,52.6,0.71,-2.38,161.8
2022,10,18.8,6.8,93.2,75.4,0.5,-2.03,106.1
2022,11,14.6,3.4,65.1,78.2,0.5,-2.41,83.4
2022,12,7.5,-2.3,127.2,99.9,0.3,-2.27,62
2023,1,6.5,-1.5,171.9,99.9,0.17,-1.2,49.4
2023,2,6.8,-3.9,52.7,99.9,0.32,-2.05,100.3
2023,3,9.4,-0.3,126.2,99.9,0.38,-1.82,144.3
2023,4,16,4.9,60.3,80.6,0.58,-2.24,188.4
2023,5,22.3,8.2,70,36,1.01,-2.72,277.2
2023,6,24.2,13.4,94.3,30.9,0.67,-2.4,199.4
2023,7,29.6,18.9,187.3,79,0.86,-0.81,223.3
2023,8,27.1,16.4,140,88.1,0.85,2.31,198.7
2023,9,24.5,14.1,120.2,99.9,0.61,3,150.1
2023,10,20.3,8.6,81.7,99.9,0.55,2.81,116.9
2023,11,11,-0.1,52.5,99.9,0.39,2.09,86.8
2023,12,8.3,0,145.3,99.9,0.23,2.44,54.4
2024,1,3.8,-4.2,195.9,99.9,0.18,3.68,59.8
2024,2,6.3,-3.5,40.2,99.9,0.29,2.16,115.9
2024,3,10.1,0.8,205.6,99.9,0.37,3.07,129.6
2024,4,14.4,3.2,94.4,99.9,0.49,2.71,185.1
2024,5,21.3,10,108.5,98.8,0.64,2.86,204.5
2024,6,27.5,15.2,54,41.7,0.99,2.48,251.2
2024,7,29.9,18.8,84.9,27.5,0.98,2.23,226.1
2024,8,27.8,16.2,103.3,21,0.81,2.08,212.7
2024,9,24.1,12.1,69.8,17,0.67,1.55,170.9
2024,10,19.4,6,33.5,14.4,0.63,-1.27,128.6
2024,11,14.2,3,72.3,21.5,0.53,-2.04,85.4
2024,12,5.4,-3.8,133.5,87.8,0.22,-2.3,62.6
